Rxd>P 0.00000000 0.00000000 1.57079639	(36B)
Rxd>A -70 - 39	(12B)
Rxd>A -60 - 45	(12B)
Rxd>A -50 - 49	(12B)
Rxd>A -40 - 50	(12B)
Rxd>A -30 - 50	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -10 - 54	(12B)
Rxd>A 0 - 45	(10B)
Rxd>A 10 - 49	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 30 - 43	(11B)
Rxd>A 40 - 45	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 60 - 49	(11B)
Rxd>A 70 - 9	(10B)
Rxd>P -0.00000009 2.00000000 1.57079639	(37B)
Rxd>A 70 - 40	(11B)
Rxd>A 60 - 49	(11B)
Rxd>A 50 - 47	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 30 - 55	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 10 - 45	(11B)
Rxd>A 0 - 48	(10B)
Rxd>A -10 - 48	(12B)
Rxd>A -20 - 48	(12B)
Rxd>A -30 - 53	(12B)
Rxd>A -40 - 45	(12B)
Rxd>A -50 - 54	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -70 - 44	(12B)
Rxd>P -0.00000018 4.00000000 1.57079639	(37B)
Rxd>A -70 - 49	(12B)
Rxd>A -60 - 50	(12B)
Rxd>A -50 - 47	(12B)
Rxd>A -40 - 43	(12B)
Rxd>A -30 - 49	(12B)
Rxd>A -20 - 44	(12B)
Rxd>A -10 - 55	(12B)
Rxd>A 0 - 48	(10B)
Rxd>A 10 - 44	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 30 - 45	(11B)
Rxd>A 40 - 48	(11B)
Rxd>A 50 - 50	(11B)
Rxd>A 60 - 38	(11B)
Rxd>A 70 - 49	(11B)
Rxd>P -0.00000026 6.00000000 1.57079639	(37B)
Rxd>A 70 - 48	(11B)
Rxd>A 60 - 52	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 40 - 47	(11B)
Rxd>A 30 - 54	(11B)
Rxd>A 20 - 50	(11B)
Rxd>A 10 - 37	(11B)
Rxd>A 0 - 46	(10B)
Rxd>A -10 - 49	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -30 - 47	(12B)
Rxd>A -40 - 48	(12B)
Rxd>A -50 - 43	(12B)
Rxd>A -60 - 54	(12B)
Rxd>A -70 - 45	(12B)
Rxd>P -0.00000035 8.00000000 1.57079639	(37B)
Rxd>A -70 - 44	(12B)
Rxd>A -60 - 50	(12B)
Rxd>A -50 - 46	(12B)
Rxd>A -40 - 49	(12B)
Rxd>A -30 - 54	(12B)
Rxd>A -20 - 53	(12B)
Rxd>A -10 - 48	(12B)
Rxd>A 0 - 47	(10B)
Rxd>A 10 - 49	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 50 - 45	(11B)
Rxd>A 60 - 39	(11B)
Rxd>A 70 - 38	(11B)
Rxd>P -0.00000044 10.00000000 1.57079639	(38B)
Rxd>A 70 - 43	(11B)
Rxd>A 60 - 44	(11B)
Rxd>A 50 - 42	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 30 - 50	(11B)
Rxd>A 20 - 55	(11B)
Rxd>A 10 - 44	(11B)
Rxd>A 0 - 50	(10B)
Rxd>A -10 - 49	(12B)
Rxd>A -20 - 54	(12B)
Rxd>A -30 - 50	(12B)
Rxd>A -40 - 50	(12B)
Rxd>A -50 - 49	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -70 - 54	(12B)
Rxd>P -0.00000053 12.00000000 1.57079639	(38B)
Rxd>A -70 - 55	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -50 - 50	(12B)
Rxd>A -40 - 49	(12B)
Rxd>A -30 - 46	(12B)
Rxd>A -20 - 46	(12B)
Rxd>A -10 - 49	(12B)
Rxd>A 0 - 42	(10B)
Rxd>A 10 - 45	(11B)
Rxd>A 20 - 54	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 50 - 44	(11B)
Rxd>A 60 - 44	(11B)
Rxd>A 70 - 41	(11B)
Rxd>P -0.00000061 14.00000000 1.57079639	(38B)
Rxd>A 70 - 45	(11B)
Rxd>A 60 - 47	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 20 - 46	(11B)
Rxd>A 10 - 45	(11B)
Rxd>A 0 - 45	(10B)
Rxd>A -10 - 48	(12B)
Rxd>A -20 - 44	(12B)
Rxd>A -30 - 46	(12B)
Rxd>A -40 - 49	(12B)
Rxd>A -50 - 55	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -70 - 45	(12B)
Rxd>P -0.00000070 16.00000000 1.57079639	(38B)
Rxd>A -70 - 44	(12B)
Rxd>A -60 - 48	(12B)
Rxd>A -50 - 43	(12B)
Rxd>A -40 - 50	(12B)
Rxd>A -30 - 39	(12B)
Rxd>A -20 - 54	(12B)
Rxd>A -10 - 54	(12B)
Rxd>A 0 - 45	(10B)
Rxd>A 10 - 45	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 30 - 51	(11B)
Rxd>A 40 - 51	(11B)
Rxd>A 50 - 50	(11B)
Rxd>A 60 - 40	(11B)
Rxd>A 70 - 41	(11B)
Rxd>P -0.00000079 18.00000000 1.57079639	(38B)
Rxd>A 70 - 48	(11B)
Rxd>A 60 - 54	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 30 - 50	(11B)
Rxd>A 20 - 45	(11B)
Rxd>A 10 - 49	(11B)
Rxd>A 0 - 44	(10B)
Rxd>A -10 - 49	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -30 - 48	(12B)
Rxd>A -40 - 42	(12B)
Rxd>A -50 - 45	(12B)
Rxd>A -60 - 54	(12B)
Rxd>A -70 - 49	(12B)
Rxd>P -0.00000088 20.00000000 1.57079639	(38B)
Rxd>A -70 - 49	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -50 - 49	(12B)
Rxd>A -40 - 42	(12B)
Rxd>A -30 - 50	(12B)
Rxd>A -20 - 44	(12B)
Rxd>A -10 - 44	(12B)
Rxd>A 0 - 49	(10B)
Rxd>A 10 - 12	(11B)
Rxd>A 20 - 11	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 50 - 47	(11B)
Rxd>A 60 - 39	(11B)
Rxd>A 70 - 43	(11B)
Rxd>P -0.00000096 22.00000000 1.57079639	(38B)
Rxd>A 70 - 43	(11B)
Rxd>A 60 - 49	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 30 - 45	(11B)
Rxd>A 20 - 53	(11B)
Rxd>A 10 - 10	(11B)
Rxd>A 0 - 49	(10B)
Rxd>A -10 - 54	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -30 - 49	(12B)
Rxd>A -40 - 54	(12B)
Rxd>A -50 - 45	(12B)
Rxd>A -60 - 50	(12B)
Rxd>A -70 - 49	(12B)
Rxd>P -0.00000105 24.00000000 1.57079639	(38B)
Rxd>A -70 - 51	(12B)
Rxd>A -60 - 54	(12B)
Rxd>A -50 - 54	(12B)
Rxd>A -40 - 55	(12B)
Rxd>A -30 - 54	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -10 - 50	(12B)
Rxd>A 0 - 45	(10B)
Rxd>A 10 - 50	(11B)
Rxd>A 20 - 44	(11B)
Rxd>A 30 - 37	(11B)
Rxd>A 40 - 38	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 60 - 42	(11B)
Rxd>A 70 - 8	(10B)
Rxd>P -0.00000114 26.00000000 1.57079639	(38B)
Rxd>A 70 - 48	(11B)
Rxd>A 60 - 44	(11B)
Rxd>A 50 - 49	(11B)
Rxd>A 40 - 43	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 10 - 49	(11B)
Rxd>A 0 - 50	(10B)
Rxd>A -10 - 48	(12B)
Rxd>A -20 - 44	(12B)
Rxd>A -30 - 49	(12B)
Rxd>A -40 - 49	(12B)
Rxd>A -50 - 54	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -70 - 53	(12B)
Rxd>P -0.00000123 28.00000000 1.57079639	(38B)
Rxd>A -70 - 54	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -50 - 48	(12B)
Rxd>A -40 - 48	(12B)
Rxd>A -30 - 50	(12B)
Rxd>A -20 - 41	(12B)
Rxd>A -10 - 55	(12B)
Rxd>A 0 - 54	(10B)
Rxd>A 10 - 39	(11B)
Rxd>A 20 - 44	(11B)
Rxd>A 30 - 46	(11B)
Rxd>A 40 - 47	(11B)
Rxd>A 50 - 45	(11B)
Rxd>A 60 - 39	(11B)
Rxd>A 70 - 39	(11B)
Rxd>P -0.00000131 30.00000000 1.57079639	(38B)
Rxd>A 70 - 46	(11B)
Rxd>A 60 - 42	(11B)
Rxd>A 50 - 47	(11B)
Rxd>A 40 - 49	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 20 - 39	(11B)
Rxd>A 10 - 49	(11B)
Rxd>A 0 - 49	(10B)
Rxd>A -10 - 46	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -30 - 54	(12B)
Rxd>A -40 - 50	(12B)
Rxd>A -50 - 50	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -70 - 42	(12B)
Rxd>P -0.00000140 32.00000000 1.57079639	(38B)
Rxd>A -70 - 55	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -50 - 48	(12B)
Rxd>A -40 - 54	(12B)
Rxd>A -30 - 54	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -10 - 50	(12B)
Rxd>A 0 - 48	(10B)
Rxd>A 10 - 46	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 30 - 45	(11B)
Rxd>A 40 - 41	(11B)
Rxd>A 50 - 48	(11B)
Rxd>A 60 - 47	(11B)
Rxd>A 70 - 42	(11B)
Rxd>P -0.00000149 34.00000000 1.57079639	(38B)
Rxd>A 70 - 44	(11B)
Rxd>A 60 - 42	(11B)
Rxd>A 50 - 42	(11B)
Rxd>A 40 - 45	(11B)
Rxd>A 30 - 49	(11B)
Rxd>A 20 - 41	(11B)
Rxd>A 10 - 39	(11B)
Rxd>A 0 - 50	(10B)
Rxd>A -10 - 48	(12B)
Rxd>A -20 - 45	(12B)
Rxd>A -30 - 44	(12B)
Rxd>A -40 - 48	(12B)
Rxd>A -50 - 49	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -70 - 48	(12B)
Rxd>P -0.00000158 36.00000000 1.57079639	(38B)
Rxd>A -70 - 49	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -50 - 54	(12B)
Rxd>A -40 - 48	(12B)
Rxd>A -30 - 49	(12B)
Rxd>A -20 - 39	(12B)
Rxd>A -10 - 54	(12B)
Rxd>A 0 - 43	(10B)
Rxd>A 10 - 38	(11B)
Rxd>A 20 - 50	(11B)
Rxd>A 30 - 44	(11B)
Rxd>A 40 - 47	(11B)
Rxd>A 50 - 43	(11B)
Rxd>A 60 - 44	(11B)
Rxd>A 70 - 9	(10B)
Rxd>P -0.00000166 38.00000000 1.57079639	(38B)
Rxd>A 70 - 38	(11B)
Rxd>A 60 - 42	(11B)
Rxd>A 50 - 42	(11B)
Rxd>A 40 - 42	(11B)
Rxd>A 30 - 44	(11B)
Rxd>A 20 - 50	(11B)
Rxd>A 10 - 50	(11B)
Rxd>A 0 - 43	(10B)
Rxd>A -10 - 41	(12B)
Rxd>A -20 - 53	(12B)
Rxd>A -30 - 52	(12B)
Rxd>A -40 - 49	(12B)
Rxd>A -50 - 39	(12B)
Rxd>A -60 - 49	(12B)
Rxd>A -70 - 45	(12B)
Rxd>P -0.00000175 40.00000000 1.57079639	(38B)
Rxd>A -70 - 54	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -50 - 46	(12B)
Rxd>A -40 - 45	(12B)
Rxd>A -30 - 51	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -10 - 49	(12B)
Rxd>A 0 - 49	(10B)
Rxd>A 10 - 49	(11B)
Rxd>A 20 - 49	(11B)
Rxd>A 30 - 15	(11B)
Rxd>A 40 - 42	(11B)
Rxd>A 50 - 42	(11B)
Rxd>A 60 - 40	(11B)
Rxd>A 70 - 42	(11B)
Rxd>P -0.00000184 42.00000000 1.57079639	(38B)
Rxd>A 70 - 9	(10B)
Rxd>A 60 - 39	(11B)
Rxd>A 50 - 40	(11B)
Rxd>A 40 - 41	(11B)
Rxd>A 30 - 41	(11B)
Rxd>A 20 - 41	(11B)
Rxd>A 10 - 44	(11B)
Rxd>A 0 - 52	(10B)
Rxd>A -10 - 50	(12B)
Rxd>A -20 - 49	(12B)
Rxd>A -30 - 49	(12B)
Rxd>A -40 - 49	(12B)
Rxd>A -50 - 49	(12B)
Rxd>A -60 - 43	(12B)
Rxd>A -70 - 49	(12B)
Rxd>P -0.00000193 44.00000000 1.57079639	(38B)
Rxd>A -70 - 51	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -50 - 49	(12B)
Rxd>A -40 - 44	(12B)
Rxd>A -30 - 48	(12B)
Rxd>A -20 - 44	(12B)
Rxd>A -10 - 46	(12B)
Rxd>A 0 - 43	(10B)
Rxd>A 10 - 46	(11B)
Rxd>A 20 - 10	(11B)
Rxd>A 30 - 34	(11B)
Rxd>A 40 - 39	(11B)
Rxd>A 50 - 39	(11B)
Rxd>A 60 - 9	(10B)
Rxd>A 70 - 39	(11B)
Rxd>P -0.00000201 46.00000000 1.57079639	(38B)
Rxd>A 70 - 38	(11B)
Rxd>A 60 - 38	(11B)
Rxd>A 50 - 37	(11B)
Rxd>A 40 - 38	(11B)
Rxd>A 30 - 39	(11B)
Rxd>A 20 - 40	(11B)
Rxd>A 10 - 49	(11B)
Rxd>A 0 - 49	(10B)
Rxd>A -10 - 47	(12B)
Rxd>A -20 - 46	(12B)
Rxd>A -30 - 45	(12B)
Rxd>A -40 - 46	(12B)
Rxd>A -50 - 45	(12B)
Rxd>A -60 - 43	(12B)
Rxd>A -70 - 49	(12B)
Rxd>P -0.00000210 48.00000000 1.57079639	(38B)
Rxd>A -70 - 49	(12B)
Rxd>A -60 - 45	(12B)
Rxd>A -50 - 45	(12B)
Rxd>A -40 - 45	(12B)
Rxd>A -30 - 44	(12B)
Rxd>A -20 - 45	(12B)
Rxd>A -10 - 45	(12B)
Rxd>A 0 - 46	(10B)
Rxd>A 10 - 47	(11B)
Rxd>A 20 - 8	(10B)
Rxd>A 30 - 38	(11B)
Rxd>A 40 - 37	(11B)
Rxd>A 50 - 36	(11B)
Rxd>A 60 - 9	(10B)
Rxd>A 70 - 36	(11B)
Rxd>P -0.00000219 50.00000000 1.57079639	(38B)
Rxd>A 70 - 36	(11B)
Rxd>A 60 - 35	(11B)
Rxd>A 50 - 35	(11B)
Rxd>A 40 - 36	(11B)
Rxd>A 30 - 37	(11B)
Rxd>A 20 - 37	(11B)
Rxd>A 10 - 40	(11B)
Rxd>A 0 - 44	(10B)
Rxd>A -10 - 44	(12B)
Rxd>A -20 - 43	(12B)
Rxd>A -30 - 43	(12B)
Rxd>A -40 - 43	(12B)
Rxd>A -50 - 44	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -70 - 45	(12B)
Rxd>P -0.00000228 52.00000000 1.57079639	(38B)
Rxd>A -70 - 50	(12B)
Rxd>A -60 - 44	(12B)
Rxd>A -50 - 42	(12B)
Rxd>A -40 - 42	(12B)
Rxd>A -30 - 41	(12B)
Rxd>A -20 - 40	(12B)
Rxd>A -10 - 41	(12B)
Rxd>A 0 - 42	(10B)
Rxd>A 10 - 45	(11B)
Rxd>A 20 - 39	(11B)
Rxd>A 30 - 35	(11B)
Rxd>A 40 - 35	(11B)
Rxd>A 50 - 35	(11B)
Rxd>A 60 - 34	(11B)
Rxd>A 70 - 34	(11B)
